id,slot,job,ja,en,description,wiki_id
10295,6144,17282,ココウピアス,Kokou's Earring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27359.html' target='_blank'>ココウピアス</a><br>STR+4 命中+4 ストアTP+1<br>戦ナ暗獣竜"", ""en""=>""<a href='http://wiki.ffo.jp/html/27359.html' target='_blank'>Kokou's Earring</a><br>STR+4 Accuracy+4<br>\""Store TP\""+1<br>WAR/PLD/DRK/BST/DRG"", ""raw""=>""STR+4 命中+4 ストアTP+1""}",27359
10296,6144,262144,シャリヴァリピアス,Charivari Earring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27360.html' target='_blank'>シャリヴァリピアス</a><br>オートマトン:命中+3 飛命+3 魔命+3<br>か"", ""en""=>""<a href='http://wiki.ffo.jp/html/27360.html' target='_blank'>Charivari Earring</a><br>Automaton: Accuracy+3<br>Ranged Accuracy+3<br>Magic Accuracy+3<br>PUP"", ""raw""=>""オートマトン:命中+3 飛命+3 魔命+3""}",27360
10297,6144,8388606,ソシアリアスピアス,Sortiarius Earring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27074.html' target='_blank'>ソシアリアスピアス</a><br>魔攻+6 敵対心-2<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/27074.html' target='_blank'>Sortiarius Earring</a><br>Magic Atk. Bonus+6 Enmity-2<br>All Jobs"", ""raw""=>""魔攻+6 敵対心-2""}",27074
10298,6144,8388606,ビティフィクピアス,Beatific Earring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27361.html' target='_blank'>ビティフィクピアス</a><br>神聖魔法スキル+4 回復魔法スキル+4<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/27361.html' target='_blank'>Beatific Earring</a><br>Divine magic skill +4<br>Healing magic skill +4<br>All Jobs"", ""raw""=>""神聖魔法スキル+4 回復魔法スキル+4""}",27361
10299,6144,512,サボンピアス,Sabong Earring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27362.html' target='_blank'>サボンピアス</a><br>ペット:ダブルアタック+2%<br>獣"", ""en""=>""<a href='http://wiki.ffo.jp/html/27362.html' target='_blank'>Sabong Earring</a><br>Pet: \""Double Attack\""+2%<br>BST"", ""raw""=>""ペット:ダブルアタック+2%""}",27362
10392,512,8388606,マリソンメダル,Malison Medallion,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27081.html' target='_blank'>マリソンメダル</a><br>敵対心-2 カーズナ効果アップ<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/27081.html' target='_blank'>Malison Medallion</a><br>Enmity-2<br>Enhances \""Cursna\"" effect<br>All Jobs"", ""raw""=>""敵対心-2 カーズナ効果アップ""}",27081
10393,512,8388606,デビリスメダル,Debilis Medallion,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27080.html' target='_blank'>デビリスメダル</a><br>敵対心-3 カーズナ効果アップ<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/27080.html' target='_blank'>Debilis Medallion</a><br>Enmity-3<br>Enhances \""Cursna\"" effect<br>All Jobs"", ""raw""=>""敵対心-3 カーズナ効果アップ""}",27080
10394,512,8388606,オルンミラトルク,Orunmila's Torque,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27353.html' target='_blank'>オルンミラトルク</a><br>MP+30 魔命+1<br>ファストキャスト効果アップ 敵対心-3<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/27353.html' target='_blank'>Orunmila's Torque</a><br>MP+30 Magic Accuracy+1<br>\""Fast Cast\"" effect+5<br>Enmity-3<br>All Jobs"", ""raw""=>""MP+30 魔命+1\nファストキャスト効果アップ 敵対心-3""}",27353
10395,512,3245112,ラサイアペンダント,Lasaia Pendant,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27354.html' target='_blank'>ラサイアペンダント</a><br>防7 魔命+1 敵対心-8<br>白黒赤詩召青学風"", ""en""=>""<a href='http://wiki.ffo.jp/html/27354.html' target='_blank'>Lasaia Pendant</a><br>DEF:7 Magic Accuracy+1 Enmity-8<br>WHM/BLM/RDM/BRD/SMN/BLU/SCH/GEO"", ""raw""=>""防7 魔命+1 敵対心-8""}",27354
10396,512,13186,ライオッターカラー,Rioter's Collar,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27568.html' target='_blank'>ライオッターカラー</a><br>命中+5 攻+5 ダブルアタック+2%<br>戦ナ暗獣侍忍"", ""en""=>""<a href='http://wiki.ffo.jp/html/27568.html' target='_blank'>Rioter's Collar</a><br>Accuracy+5 Attack+5<br>\""Double Attack\""+2%<br>WAR/PLD/DRK/BST/SAM/NIN"", ""raw""=>""命中+5 攻+5 ダブルアタック+2%""}",27568
10397,512,949830,イシュタルカラー,Ishtar's Collar,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27569.html' target='_blank'>イシュタルカラー</a><br>命中+8 攻+8 回避+5<br>戦モシ獣詩狩侍忍竜コか踊"", ""en""=>""<a href='http://wiki.ffo.jp/html/27569.html' target='_blank'>Ishtar's Collar</a><br>Accuracy+8 Attack+8 Evasion+5<br>WAR/MNK/THF/BST/BRD/RNG/SAM/NIN/DRG/COR/PUP/DNC"", ""raw""=>""命中+8 攻+8 回避+5""}",27569
